Year,finals_mvp
1947,not_assign
1948,not_assign
1949,not_assign
1950,not_assign
1951,not_assign
1952,not_assign
1953,not_assign
1954,not_assign
1955,not_assign
1956,not_assign
1957,not_assign
1958,not_assign
1959,not_assign
1960,not_assign
1961,not_assign
1962,not_assign
1963,not_assign
1964,not_assign
1965,not_assign
1966,not_assign
1967,not_assign
1968,not_assign
1969,Jerry West
1970,Willis Reed
1971,Lew Alcindor
1972,Wilt Chamberlain
1973,Willis Reed
1974,John Havlicek
1975,Rick Barry
1976,Jo Jo White
1977,Bill Walton
1978,Wes Unseld
1979,Dennis Johnson
1980,Magic Johnson
1981,Cedric Maxwell
1982,Magic Johnson
1983,Moses Malone
1984,Larry Bird
1985,Kareem Abdul-Jabbar
1986,Larry Bird
1987,Magic Johnson
1988,James Worthy
1989,Joe Dumars
1990,Isiah Thomas
1991,Michael Jordan
1992,Michael Jordan
1993,Michael Jordan
1994,Hakeem Olajuwon
1995,Hakeem Olajuwon
1996,Michael Jordan
1997,Michael Jordan
1998,Michael Jordan
1999,Tim Duncan
2000,Shaquille O'Neal
2001,Shaquille O'Neal
2002,Shaquille O'Neal
2003,Tim Duncan
2004,Chauncey Billups
2005,Tim Duncan
2006,Dwyane Wade
2007,Tony Parker
2008,Paul Pierce
2009,Kobe Bryant
2010,Kobe Bryant
2011,Dirk Nowitzki
2012,LeBron James
2013,LeBron James
2014,Kawhi Leonard
2015,Andre Iguodala
2016,LeBron James
2017,Kevin Durant
2018,Kevin Durant
2019,Kawhi Leonard
2020,LeBron James
2021,Giannis Antetokounmpo
2022,Stephen Curry
2023,Nikola JokiÄ‡
